Name,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Filename,Variant ID,Internal ID,Unique Entry ID,Purchasable
antique bureau,Black,,,,False,False,False,,20000,5000,Black,Black,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Desk,False,Does not play music,No lighting,FtrAntiqueBureau_Remake_2_0,2_0,3956,nTM9BgbxMArEAuPda,1
antique chair,Brown,,,,False,False,False,,10000,2500,Brown,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Chair,False,Does not play music,No lighting,FtrAntiqueChairS_Remake_0_0,0_0,3950,gzBvzGmkCqvaa4dfg,1
antique chair,Natural,,,,False,False,False,,10000,2500,Beige,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Chair,False,Does not play music,No lighting,FtrAntiqueChairS_Remake_1_0,1_0,3950,d4oC34hgWHdZAv8dT,1
antique chair,Black,,,,False,False,False,,10000,2500,Black,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Chair,False,Does not play music,No lighting,FtrAntiqueChairS_Remake_2_0,2_0,3950,eCZttstT4S3Tr4ZSj,1
antique clock,Brown,,,,False,False,False,,44000,11000,Brown,Yellow,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Clock,False,Does not play music,No lighting,FtrAntiqueClock_Remake_0_0,0_0,3954,54WzSWz3bv4j4279w,1
antique clock,Natural,,,,False,False,False,,44000,11000,Beige,Yellow,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Clock,False,Does not play music,No lighting,FtrAntiqueClock_Remake_1_0,1_0,3954,aPDaateHnZ2K7rnCX,1
antique clock,Black,,,,False,False,False,,44000,11000,Black,Yellow,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Clock,False,Does not play music,No lighting,FtrAntiqueClock_Remake_2_0,2_0,3954,prDor5kTcy7ahzz5c,1
antique console table,Brown,,,,False,False,False,,17000,4250,Brown,Brown,2x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,False,Table,False,Does not play music,No lighting,FtrAntiqueConsole_Remake_0_0,0_0,3951,kKSfnnXLBk2BMbWEo,1
antique console table,Natural,,,,False,False,False,,17000,4250,Beige,Beige,2x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,False,Table,False,Does not play music,No lighting,FtrAntiqueConsole_Remake_1_0,1_0,3951,SBphLepffHinkmtPf,1
antique console table,Black,,,,False,False,False,,17000,4250,Black,Black,2x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,False,Table,False,Does not play music,No lighting,FtrAntiqueConsole_Remake_2_0,2_0,3951,7i4eJMFhi2gzqMEZ8,1
antique mini table,Brown,,,,False,False,False,,6700,1675,Brown,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,False,Table,False,Does not play music,No lighting,FtrAntiqueTableS_Remake_0_0,0_0,3958,WZyBrwSZD4wZtqcBJ,1
antique mini table,Natural,,,,False,False,False,,6700,1675,Beige,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,False,Table,False,Does not play music,No lighting,FtrAntiqueTableS_Remake_1_0,1_0,3958,epWuBMh226r3nu7xh,1
antique mini table,Black,,,,False,False,False,,6700,1675,Black,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,False,Table,False,Does not play music,No lighting,FtrAntiqueTableS_Remake_2_0,2_0,3958,2n955ZXXD3RXt9gjE,1
antique table,Brown,,,,False,False,False,,25000,6250,Brown,Brown,2x2,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,False,Table,False,Does not play music,No lighting,FtrAntiqueTableL_Remake_0_0,0_0,3952,F4jrEYe9x7W4E2wYE,1
antique table,Natural,,,,False,False,False,,25000,6250,Beige,Beige,2x2,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,False,Table,False,Does not play music,No lighting,FtrAntiqueTableL_Remake_1_0,1_0,3952,ptPHtvKpF2JCkS9Zw,1
antique table,Black,,,,False,False,False,,25000,6250,Black,Black,2x2,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,False,Table,False,Does not play music,No lighting,FtrAntiqueTableL_Remake_2_0,2_0,3952,x2K5wv9K8qGXcmukB,1
antique vanity,Brown,,,,False,False,False,,31000,7750,Brown,Light blue,2x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Dresser,False,Does not play music,No lighting,FtrAntiqueDresser_Remake_0_0,0_0,3955,qLtWDehmX53gwgha7,1
antique vanity,Natural,,,,False,False,False,,31000,7750,Beige,Light blue,2x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Dresser,False,Does not play music,No lighting,FtrAntiqueDresser_Remake_1_0,1_0,3955,2bRbENZWkM9BeuiwZ,1
antique vanity,Black,,,,False,False,False,,31000,7750,Black,Light blue,2x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Dresser,False,Does not play music,No lighting,FtrAntiqueDresser_Remake_2_0,2_0,3955,b5MR8PraRhrJzsqYi,1
antique wardrobe,Brown,,,,False,False,False,,37000,9250,Brown,Brown,2x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,Wardrobe,Chest,False,Does not play music,No lighting,FtrAntiqueChest_Remake_0_0,0_0,3959,XAnaYsJ8wouWyBBsu,1
antique wardrobe,Natural,,,,False,False,False,,37000,9250,Beige,Beige,2x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,Wardrobe,Chest,False,Does not play music,No lighting,FtrAntiqueChest_Remake_1_0,1_0,3959,yBtLh6CtFrGD4qTTF,1
antique wardrobe,Black,,,,False,False,False,,37000,9250,Black,Black,2x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,Wardrobe,Chest,False,Does not play music,No lighting,FtrAntiqueChest_Remake_2_0,2_0,3959,Tjvexu4etCrRoAAw4,1
apple chair,Red apple,Fruit type,,,True,True,False,4.0,NFS,2480,Red,Yellow,1x1,,Crafting,,1.0.0,fancy,None,fruits,apple,True,Chair,False,Does not play music,No lighting,FtrFruitsChairApple_Remake_0_0,0_0,4134,qonCdPiLCmFNtYMsG,0
apple chair,Green apple,Fruit type,,,True,True,False,4.0,NFS,2480,Green,Yellow,1x1,,Crafting,,1.0.0,fancy,None,fruits,apple,True,Chair,False,Does not play music,No lighting,FtrFruitsChairApple_Remake_1_0,1_0,4134,rjPaqoEyZ2FHDjbkn,0
Aquarius urn,,,,,True,False,False,,NFS,22125,White,Yellow,1x1,,Crafting,,1.0.0,expensive,bathroom,stars,None,False,Bathroom Things,False,Does not play music,No lighting,FtrZodiacAquarius,,5956,dYz86HHwPAWYn5c3Z,0
arcade combat game,,,,,False,False,False,,64000,16000,White,Blue,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,facility,shop,None,None,True,Toy,False,Does not play music,Monitor,FtrArcadegameShooting,,8226,f7tatK2cmYwskb5LS,1
arcade fighting game,,,,,False,False,False,,64000,16000,White,Red,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,facility,shop,None,None,True,Toy,False,Does not play music,Monitor,FtrArcadegameFight,,8225,3CKqHScHJuqbW7e4u,1
arcade mahjong game,,,,,False,False,False,,64000,16000,White,Green,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,facility,shop,None,None,True,Toy,False,Does not play music,Monitor,FtrArcadegameMahjong,,8227,vNB5LbWmPm2uQhdjo,1
arcade seat,Red,,,,False,False,False,,1300,325,Red,Gray,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the unique furniture slot,1.0.0,facility,shop,None,None,True,Chair,False,Does not play music,No lighting,FtrGameChair_Remake_0_0,0_0,12207,BHxt8Xrz3RxHAq45c,1
arcade seat,Gray,,,,False,False,False,,1300,325,Gray,Gray,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the unique furniture slot,1.0.0,facility,shop,None,None,True,Chair,False,Does not play music,No lighting,FtrGameChair_Remake_1_0,1_0,12207,qvAcGrMSRKdMPWZAF,1
arcade seat,Blue,,,,False,False,False,,1300,325,Blue,Gray,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the unique furniture slot,1.0.0,facility,shop,None,None,True,Chair,False,Does not play music,No lighting,FtrGameChair_Remake_2_0,2_0,12207,DZ3hFRhqZ5W62XQ4C,1
Aries rocking chair,,,,,True,False,False,,NFS,12125,White,Yellow,1x1,,Crafting,,1.0.0,expensive,fancy,stars,None,True,Toy,False,Does not play music,No lighting,FtrZodiacAries,,5954,MLxrGfmKBYNQoqYYu,0
artisanal bug cage,,,,,False,False,False,,NFS,450,Brown,Brown,2x1,,Bug-Off,,1.0.0,garden,facility,None,None,Wardrobe,Ranch,True,Does not play music,No lighting,FtrEventobjInsectBox,,7839,GsEBBC4JpEgwjgv6e,0
asteroid,,,,,True,False,False,,NFS,4000,Black,Black,1x1,,Crafting,,1.0.0,space,facility,None,None,True,Space,True,Does not play music,No lighting,FtrMeteo,,1439,oAQNzhuKcCvh4E9a4,0
astronaut suit,,,,,True,False,False,,NFS,6250,White,Black,1x1,,Crafting,,1.0.0,space,None,None,None,False,Space,True,Does not play music,No lighting,FtrSpacesuit,,1445,mBhzWedMXNB5HSrKa,0
automatic washer,White,,,,False,False,False,,4500,1125,White,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the unique furniture slot,1.0.0,bathroom,None,None,None,True,Home Appliances,False,Does not play music,No lighting,FtrWashingmachine_Remake_0_0,0_0,2740,4YqpCyGk4ndhAWjS8,1
automatic washer,Pink,,,,False,False,False,,4500,1125,Red,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the unique furniture slot,1.0.0,bathroom,None,None,None,True,Home Appliances,False,Does not play music,No lighting,FtrWashingmachine_Remake_1_0,1_0,2740,wdpzZgQz8aJvnkY33,1
automatic washer,Blue,,,,False,False,False,,4500,1125,Blue,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the unique furniture slot,1.0.0,bathroom,None,None,None,True,Home Appliances,False,Does not play music,No lighting,FtrWashingmachine_Remake_2_0,2_0,2740,vCcK4sAa2HDC2cLQG,1
automatic washer,Green,,,,False,False,False,,4500,1125,Green,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the unique furniture slot,1.0.0,bathroom,None,None,None,True,Home Appliances,False,Does not play music,No lighting,FtrWashingmachine_Remake_3_0,3_0,2740,xwWJ4q9SvKAkwKAf9,1
automatic washer,Yellow,,,,False,False,False,,4500,1125,Yellow,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the unique furniture slot,1.0.0,bathroom,None,None,None,True,Home Appliances,False,Does not play music,No lighting,FtrWashingmachine_Remake_4_0,4_0,2740,uKASWdnn2i8tv3W9G,1
automatic washer,Black,,,,False,False,False,,4500,1125,Black,Black,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the unique furniture slot,1.0.0,bathroom,None,None,None,True,Home Appliances,False,Does not play music,No lighting,FtrWashingmachine_Remake_5_0,5_0,2740,z8zJrXKQxbrLnXXLv,1
baby chair,Red,,Bear,Cushion,False,False,True,1.0,1200,300,Red,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,True,Chair,False,Does not play music,No lighting,FtrBabychair_Remake_0_0,0_0,3305,uzH4uc5wXZiAeRrDx,1
baby chair,Red,,Strawberry,Cushion,False,False,True,1.0,1200,300,Red,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,True,Chair,False,Does not play music,No lighting,FtrBabychair_Remake_0_1,0_1,3305,Mzjo4jFrqZdhCPTR3,1
baby chair,Red,,Butterfly,Cushion,False,False,True,1.0,1200,300,Red,Orange,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,True,Chair,False,Does not play music,No lighting,FtrBabychair_Remake_0_2,0_2,3305,SNPkuumtp6rc7Df7k,1
baby chair,Red,,Train,Cushion,False,False,True,1.0,1200,300,Red,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,True,Chair,False,Does not play music,No lighting,FtrBabychair_Remake_0_3,0_3,3305,9g8Jq3bPaDbew3GZg,1
baby chair,Red,,Paw print,Cushion,False,False,True,1.0,1200,300,Red,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,True,Chair,False,Does not play music,No lighting,FtrBabychair_Remake_0_4,0_4,3305,imMXebxofRWTiDB2y,1
baby chair,Pink,,Bear,Cushion,False,False,True,1.0,1200,300,Pink,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,True,Chair,False,Does not play music,No lighting,FtrBabychair_Remake_1_0,1_0,3305,QRHpTEn6WNZZxv8bd,1
baby chair,Pink,,Strawberry,Cushion,False,False,True,1.0,1200,300,Pink,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,True,Chair,False,Does not play music,No lighting,FtrBabychair_Remake_1_1,1_1,3305,kiYP9J9thzGkP2ZXQ,1
baby chair,Pink,,Butterfly,Cushion,False,False,True,1.0,1200,300,Pink,Orange,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,True,Chair,False,Does not play music,No lighting,FtrBabychair_Remake_1_2,1_2,3305,5x8pLSL8XjbZnCBQQ,1
baby chair,Pink,,Train,Cushion,False,False,True,1.0,1200,300,Pink,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,True,Chair,False,Does not play music,No lighting,FtrBabychair_Remake_1_3,1_3,3305,6tfwMtaYLE5KtAQKS,1
baby chair,Pink,,Paw print,Cushion,False,False,True,1.0,1200,300,Pink,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,True,Chair,False,Does not play music,No lighting,FtrBabychair_Remake_1_4,1_4,3305,ihucEvtrsesPCYZB2,1
baby chair,Yellow,,Bear,Cushion,False,False,True,1.0,1200,300,Yellow,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,True,Chair,False,Does not play music,No lighting,FtrBabychair_Remake_2_0,2_0,3305,SrYrGG6KFSsL2t44t,1
baby chair,Yellow,,Strawberry,Cushion,False,False,True,1.0,1200,300,Yellow,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,True,Chair,False,Does not play music,No lighting,FtrBabychair_Remake_2_1,2_1,3305,BpCJtM8aCQG4npCgi,1
baby chair,Yellow,,Butterfly,Cushion,False,False,True,1.0,1200,300,Yellow,Orange,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,True,Chair,False,Does not play music,No lighting,FtrBabychair_Remake_2_2,2_2,3305,2viSrxqmyLaJvzTCN,1
baby chair,Yellow,,Train,Cushion,False,False,True,1.0,1200,300,Yellow,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,True,Chair,False,Does not play music,No lighting,FtrBabychair_Remake_2_3,2_3,3305,TaiysCHzEZcmoaWxh,1
baby chair,Yellow,,Paw print,Cushion,False,False,True,1.0,1200,300,Yellow,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,True,Chair,False,Does not play music,No lighting,FtrBabychair_Remake_2_4,2_4,3305,kfty2gGw5RRZSn83e,1
baby chair,Green,,Bear,Cushion,False,False,True,1.0,1200,300,Green,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,True,Chair,False,Does not play music,No lighting,FtrBabychair_Remake_3_0,3_0,3305,GbFytCa455MMYZwsP,1
baby chair,Green,,Strawberry,Cushion,False,False,True,1.0,1200,300,Green,Colorful,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,True,Chair,False,Does not play music,No lighting,FtrBabychair_Remake_3_1,3_1,3305,5uhAs2KBzMWDjBhhN,1
