Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Type,Villager Equippable,Filename,Internal ID,Unique Entry ID,Purchasable
baseball cap,Green,False,840,210,Green,Green,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Active,outdoorsy; sporty; work,HeadCap,True,CapHatBaseball2,12093,xYaGzJECou3ALoBz4,1
baseball cap,Orange,False,840,210,Black,Orange,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Active,outdoorsy; sporty; work,HeadCap,True,CapHatBaseball3,12094,HE8xZkXbRspp6qgoE,1
baseball cap,Yellow,False,840,210,Black,Yellow,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Active,outdoorsy; sporty; work,HeadCap,True,CapHatBaseball4,12095,rci5SRCfQ3Hre9vsT,1
batter's helmet,Red,False,1040,260,Red,Red,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty; work,Headgear_NoEar,False,CapHelmetBaseball0,5366,5YfnKAsTFYFEyGCJb,1
batter's helmet,Navy blue,False,1040,260,Blue,Blue,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty; work,Headgear_NoEar,False,CapHelmetBaseball1,11596,zRQ6hi9FeiQcLXwzH,1
batter's helmet,Green,False,1040,260,Green,Green,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty; work,Headgear_NoEar,False,CapHelmetBaseball2,11597,GfWeB9jgoCTfuG9Lv,1
batter's helmet,Orange,False,1040,260,Black,Orange,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty; work,Headgear_NoEar,False,CapHelmetBaseball3,11598,ohKfr9GPDP7QdRSnC,1
batter's helmet,Yellow,False,1040,260,Black,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty; work,Headgear_NoEar,False,CapHelmetBaseball4,11599,4bFJaJ5S9qqevW4sx,1
bear cap,Brown,False,1120,280,Brown,Beige,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,Headgear_HasBang,False,CapBangsBear0,5330,qmkSD7yKDpFvdxcPK,1
bear cap,Black,False,1120,280,Black,Beige,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,Headgear_HasBang,False,CapBangsBear1,11704,6Lrqy6EP9zYBc9Cvj,1
bear cap,Pink,False,1120,280,Pink,Beige,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,Headgear_HasBang,False,CapBangsBear2,11705,CK638wXoN5uPsRbYJ,1
bear cap,Blue,False,1120,280,Light blue,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,Headgear_HasBang,False,CapBangsBear3,11706,MfoAxTnsMmTQBic6g,1
beret,Berry red,False,880,220,Red,Red,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,True,1.0.0,Elegant,everyday; formal; party,HeadCap,True,CapHatBeret0,5260,iPsbB4mbQ899q2j57,1
beret,Blue,False,880,220,Blue,Blue,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,everyday; formal; party,HeadCap,True,CapHatBeret1,11523,9CLccmJpKhs7z7GsP,1
beret,Green,False,880,220,Green,Green,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,everyday; formal; party,HeadCap,True,CapHatBeret2,11524,39uW3hcrPpBpudJrm,1
beret,Mustard,False,880,220,Yellow,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,everyday; formal; party,HeadCap,True,CapHatBeret3,11525,gW77mBgBYahG3WcYf,1
beret,Gray,False,880,220,Gray,Gray,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,True,1.0.0,Elegant,everyday; formal; party,HeadCap,True,CapHatBeret4,11526,RumHCxfL5TsdeSodA,1
beret,White,False,880,220,White,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,True,1.0.0,Elegant,everyday; formal; party,HeadCap,True,CapHatBeret5,11527,4cJGWuLDDa2emHT9H,1
bicycle helmet,Blue,False,1100,275,Light blue,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty,HeadCap,True,CapHatCyclemet0,5282,kWrRgRFJ8PYExJvL6,1
bicycle helmet,Navy blue,False,1100,275,Blue,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty,HeadCap,True,CapHatCyclemet1,10219,tXGWFr2hrkQg6XgKy,1
bicycle helmet,Red,False,1100,275,Red,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty,HeadCap,True,CapHatCyclemet2,10220,QDn7xQHdWZ6xPh3BT,1
bicycle helmet,Lime,False,1100,275,Yellow,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty,HeadCap,True,CapHatCyclemet3,10221,mM2hGRaCP5ZaDdab6,1
bicycle helmet,Green,False,1100,275,Green,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty,HeadCap,True,CapHatCyclemet4,10222,qqDW5HCEQdMJx5H5B,1
bicycle helmet,Orange,False,1100,275,Orange,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty,HeadCap,True,CapHatCyclemet5,10223,4GFrms76iFwwqSCkm,1
bicycle helmet,Purple,False,1100,275,Purple,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty,HeadCap,True,CapHatCyclemet6,10224,D2BTXoTXvvGwzyyuF,1
bicycle helmet,Pink,False,1100,275,Pink,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty,HeadCap,True,CapHatCyclemet7,10225,RZCHqdZeoMmDoGm4m,1
birthday hat,Blue,False,NFS,600,Light blue,White,1x1,,Birthday,,All Year,False,1.0.0,Gorgeous,party,HeadCap,True,CapHatBirthday0,4800,zndsngwExKbWTahZf,0
birthday hat,Yellow,False,NFS,600,Yellow,White,1x1,,Birthday,,All Year,False,1.0.0,Gorgeous,party,HeadCap,True,CapHatBirthday1,11031,KxQKjRzS2zDaXTS38,0
birthday hat,Pink,False,NFS,600,Pink,White,1x1,,Birthday,,All Year,False,1.0.0,Gorgeous,party,HeadCap,True,CapHatBirthday2,11032,SHSKySrv2c9QJHFbt,0
blue rose crown,Blue,True,NFS,12000,Blue,Blue,1x1,,Crafting,,All Year,False,1.0.0,Cute,fairy tale; party; vacation,HeadHairOrnament_Top,True,CapOrnamentRose4,7377,FMTDb2CYPMNxEfjTu,0
bowler hat with ribbon,Blue,False,1100,275,Light blue,Light blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Elegant,fairy tale; formal; party,HeadCap,True,CapHatBowler0,5296,WERjZwsMPdiWTSW75,1
bowler hat with ribbon,Beige,False,1100,275,Beige,Beige,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Elegant,fairy tale; formal; party,HeadCap,True,CapHatBowler1,10882,Zw2YFExjKxhPLh8m9,1
bowler hat with ribbon,Green,False,1100,275,Green,Green,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,True,1.0.0,Elegant,fairy tale; formal; party,HeadCap,True,CapHatBowler2,10883,X7h5XGKTRyvZYhKvz,1
bowler hat with ribbon,Red,False,1100,275,Red,Red,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Elegant,fairy tale; formal; party,HeadCap,True,CapHatBowler3,10884,DXBymHgCPFMRd9ruP,1
bowler hat with ribbon,Pink,False,1100,275,Pink,Pink,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Elegant,fairy tale; formal; party,HeadCap,True,CapHatBowler4,10885,S6CNHQKo3qjp4rYvW,1
bridal veil,,False,4600,1150,White,Colorful,1x1,,Wedding Season,,All Year,False,1.2.0,Elegant,,Headgear_HasEar,False,CapWigWedding,5692,8bavS95pnPk55RWhq,0
bun wig,Pink,False,1440,360,Pink,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,True,1.0.0,Cute,theatrical,Headgear_HasEar,False,CapWigDoublebun0,5693,3dY6G9juEFXKBWDjL,1
bun wig,Blue,False,1440,360,Blue,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,theatrical,Headgear_HasEar,False,CapWigDoublebun1,11888,SyzZ7uDqxmmvT5oWR,1
bun wig,Mustard,False,1440,360,Yellow,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,True,1.0.0,Cute,theatrical,Headgear_HasEar,False,CapWigDoublebun2,11889,cLo5L7JBf2GSajf58,1
bun wig,White,False,1440,360,White,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,theatrical,Headgear_HasEar,False,CapWigDoublebun3,11890,iHzbGt8cd8noNaNhK,1
bun wig,Purple,False,1440,360,Purple,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,theatrical,Headgear_HasEar,False,CapWigDoublebun4,11891,EB9fqNu8wNpRwg8j7,1
bun wig,Green,False,1440,360,Green,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,theatrical,Headgear_HasEar,False,CapWigDoublebun5,11892,MaH5ns6crjCLnh4Xv,1
bun wig,Orange,False,1440,360,Orange,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,theatrical,Headgear_HasEar,False,CapWigDoublebun6,11893,Xi5zbpjv8DuMCGhSg,1
Bunny Day crown,,True,NFS,2400,Colorful,Colorful,1x1,,Crafting,,All Year,False,1.1.0a,Elegant,fairy tale; party; theatrical,HeadHairOrnament_Top,True,CapOrnamentCEgg0,12445,22fHRtAozAf9F7KAP,0
bunny ears,Black,False,1120,280,Black,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,HeadHairOrnament_Front,True,CapOrnamentFBunny0,7209,guAKXMvkQjACjCeko,1
bunny ears,Pink,False,1120,280,Pink,Pink,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,HeadHairOrnament_Front,True,CapOrnamentFBunny1,11902,ejbHqhzuDWKeRTJHB,1
bunny ears,Red,False,1120,280,Red,Red,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,HeadHairOrnament_Front,True,CapOrnamentFBunny2,11903,Cp6KkLFeWf2ZjrxGG,1
bunny ears,Light blue,False,1120,280,Light blue,Light blue,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,HeadHairOrnament_Front,True,CapOrnamentFBunny3,11904,vEGFBZeC8cs8uSHYX,1
bunny hood,Pink,False,1120,280,Pink,Pink,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party,Headgear_HasBang,False,CapBangsRabbit0,5325,kAc5WJ4RdbdwRZviu,1
bunny hood,Yellow,False,1120,280,Yellow,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party,Headgear_HasBang,False,CapBangsRabbit1,11700,56pSbKmverxwgoWyA,1
bunny hood,White,False,1120,280,White,Light blue,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party,Headgear_HasBang,False,CapBangsRabbit2,11701,yspHESBTkZq8CtqQ2,1
captain's hat,White,False,1680,420,White,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cool,formal; work,HeadCap,True,CapHatCaptainWhite,5332,hKr3Y4nRnRQQji93W,1
cat cap,Navy blue,False,980,245,Blue,Pink,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,Headgear_HasBang,False,CapBangsCat0,5326,CJzRXGT2fjMnB3Rgh,1
cat cap,Brown,False,980,245,Brown,Pink,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,Headgear_HasBang,False,CapBangsCat1,11702,dsjqz48SY6TcQ7X7e,1
cat cap,White,False,980,245,White,Pink,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,Headgear_HasBang,False,CapBangsCat2,11703,vHB8gJoaSPoCJGkLz,1
catcher's mask,Red,False,1560,390,Red,Red,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty; work,HeadFullFace,False,CapFullfaceCatcher0,6050,8zmdbp2tBykZTALsA,1
catcher's mask,Navy blue,False,1560,390,Blue,Blue,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty; work,HeadFullFace,False,CapFullfaceCatcher1,11600,T5gi3Ez88i5d6CGsS,1
catcher's mask,Green,False,1560,390,Green,Green,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty; work,HeadFullFace,False,CapFullfaceCatcher2,11601,nP3Qibz6spPJjfzuf,1
catcher's mask,Orange,False,1560,390,Black,Orange,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty; work,HeadFullFace,False,CapFullfaceCatcher3,11602,FiRH6PxvgXwf7RXFL,1
catcher's mask,Yellow,False,1560,390,Black,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty; work,HeadFullFace,False,CapFullfaceCatcher4,11603,c9D7iWahWWuwwBhWm,1
cavalier hat,Blue,False,1600,400,Blue,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,fairy tale; theatrical,HeadCap,True,CapHatCavalier0,5663,LiyDo5B8daue2r4yx,1
cavalier hat,Red,False,1600,400,Red,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,fairy tale; theatrical,HeadCap,True,CapHatCavalier1,11807,jpuz4JgbGnmndBnrF,1
cavalier hat,Green,False,1600,400,Green,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,fairy tale; theatrical,HeadCap,True,CapHatCavalier2,11808,7Hsa64WDuBsf9EWNk,1
chef's hat,White,False,840,210,White,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Simple,work,HeadCap,True,CapHatCockWhite,5140,nEKEfN4THZSYy2Fam,1
cherry hat,Red,True,NFS,1000,Red,Green,1x1,,Crafting,,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,HeadCap,True,CapHatCherry0,9873,zAezFwCd6zTXDiLmH,0
chic mum crown,Colorful,True,NFS,960,Pink,Purple,1x1,,Crafting,,All Year,False,1.0.0,Cute,fairy tale; party; vacation,HeadHairOrnament_Top,True,CapOrnamentMum2,5118,k3yYLEyKr9hmD482c,0
chic rose crown,Purple,True,NFS,2880,Purple,Black,1x1,,Crafting,,All Year,False,1.0.0,Cute,fairy tale; party; vacation,HeadHairOrnament_Top,True,CapOrnamentRose3,5113,AFGYn6gsbgZv7hR7h,0
chic tulip crown,Colorful,True,NFS,1440,Purple,Pink,1x1,,Crafting,,All Year,False,1.0.0,Cute,fairy tale; party; vacation,HeadHairOrnament_Top,True,CapOrnamentTulip2,5103,egj5MuWKmQwuikuhY,0
coin headpiece,Gold,False,NFS,1350,Yellow,Colorful,1x1,,Gulliver,,All Year,False,1.0.0,Gorgeous,theatrical,Headgear_NoEar,False,CapHelmetCoinGold,6091,gZaTz678JajwxN46E,0
colorful striped knit cap,Red,False,880,220,Red,Colorful,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Cute,everyday; outdoorsy,HeadCap,True,CapHatColorful0,5409,9g2SAsCcRPBDN3a98,1
colorful striped knit cap,Blue,False,880,220,Blue,Colorful,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Cute,everyday; outdoorsy,HeadCap,True,CapHatColorful1,10957,MNneFtRkQ4zH3N8TD,1
colorful striped knit cap,Green,False,880,220,Green,Colorful,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Cute,everyday; outdoorsy,HeadCap,True,CapHatColorful2,10958,JvH9LbcQAaF3dFonA,1
colorful striped knit cap,Yellow,False,880,220,Yellow,Colorful,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Cute,everyday; outdoorsy,HeadCap,True,CapHatColorful3,10959,5umtCd4PB35mTEBfk,1
colorful striped knit cap,Purple,False,880,220,Purple,Colorful,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,True,1.0.0,Cute,everyday; outdoorsy,HeadCap,True,CapHatColorful4,10960,kjWy2e4uNkWHZ3o3p,1
colorful striped knit cap,Light blue,False,880,220,Light blue,Colorful,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Cute,everyday; outdoorsy,HeadCap,True,CapHatColorful5,10961,Q2bPLK8wsnwGPMxN9,1
combat helmet,Avocado,False,1120,280,Green,Green,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,outdoorsy,HeadCap,True,CapHatCombat0,5316,bThWbsCsNjRFycArk,1
combat helmet,Brown,False,1120,280,Black,Brown,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,outdoorsy,HeadCap,True,CapHatCombat1,10226,4xSCqGw5N8a9AxF6i,1
composer's wig,Hair Color,False,1680,420,Colorful,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,fairy tale; formal; party; theatrical; work,Headgear_NoEar,False,CapHelmetMusicBlack,5696,kmehP3Am6XP3sH2KN,1
cool hyacinth crown,Blue,True,NFS,1280,Blue,Orange,1x1,,Crafting,,All Year,False,1.0.0,Cute,fairy tale; party; vacation,HeadHairOrnament_Top,True,CapOrnamentHyacinth2,5097,95vRHFGEYo5ZGQssX,0
cool pansy crown,Colorful,True,NFS,960,Red,Blue,1x1,,Crafting,,All Year,False,1.0.0,Cute,fairy tale; party; vacation,HeadHairOrnament_Top,True,CapOrnamentPansy2,5106,GyeNhCRzLNF33hKqh,0
cool windflower crown,Colorful,True,NFS,960,Pink,Blue,1x1,,Crafting,,All Year,False,1.0.0,Cute,fairy tale; party; vacation,HeadHairOrnament_Top,True,CapOrnamentAnemone2,5100,8gj25M44duF3QM6Cu,0
cosmos crown,Colorful,True,NFS,480,Colorful,Colorful,1x1,,Crafting,,All Year,False,1.0.0,Cute,fairy tale; party; vacation,HeadHairOrnament_Top,True,CapOrnamentCosmos1,5108,jF2NZPn7WLhoNzDic,0
crown,Gold,False,1000000,250000,Yellow,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Gorgeous,fairy tale; formal; party; theatrical,HeadHairOrnament_Peak,True,CapOrnamentAQueen0,8000,HsmAmzyoymYTYqKFg,1
cute lily crown,Colorful,True,NFS,800,Pink,Orange,1x1,,Crafting,,All Year,False,1.0.0,Cute,fairy tale; party; vacation,HeadHairOrnament_Top,True,CapOrnamentYuri2,5115,7asbWZybHzvF3zE7j,0
cute rose crown,Colorful,True,NFS,960,Pink,Orange,1x1,,Crafting,,All Year,False,1.0.0,Cute,fairy tale; party; vacation,HeadHairOrnament_Top,True,CapOrnamentRose2,5112,Fj9YYwxNxHsQEy9vv,0
cycling cap,Blue,False,1100,275,White,Blue,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,outdoorsy; sporty,HeadCap,True,CapHatCycle0,5257,3E8cqPTbQkn6s782m,1
